state_name,total,state_code,state_short
Alabama,5,1,AL
Alaska,15,2,AK
Arizona,28,4,AZ
Arkansas,3,5,AR
California,102,6,CA
Colorado,29,8,CO
Connecticut,54,9,CT
Delaware,29,10,DE
District of Columbia,65,11,DC
Florida,88,12,FL
Georgia,26,13,GA
Hawaii,27,16,HI
Idaho,9,17,ID
Illinois,42,18,IL
Indiana,20,19,IN
Iowa,6,20,IA
Kansas,6,21,KS
Kentucky,11,22,KY
Louisiana,10,23,LA
Maine,34,24,ME
Maryland,54,25,MD
Massachusetts,87,26,MA
Michigan,34,27,MI
Minnesota,20,28,MN
Mississippi,2,29,MS
Missouri,14,30,MO
Montana,10,31,MT
Nebraska,8,32,NE
Nevada,33,33,NV
New Hampshire,36,34,NH
New Jersey,86,35,NJ
New Mexico,14,36,NM
New York,138,37,NY
North Carolina,31,38,NC
North Dakota,2,39,ND
Ohio,32,40,OH
Oklahoma,5,41,OK
Oregon,18,42,OR
Pennsylvania,91,44,PA
Puerto Rico,7,74,PR
Rhode Island,40,45,RI
South Carolina,22,46,SC
South Dakota,5,47,SD
Tennessee,17,48,TN
Texas,30,49,TX
Utah,24,50,UT
Vermont,32,51,VT
Virginia,43,53,VA
Washington,43,54,WA
West Virginia,16,55,WV
Wisconsin,17,56,WI
Wyoming,12,60,WY
